Date,Stock_symbol,Lsa_summary,sentiment
2023-12-16 18:00:00 UTC,AAPL,"Taking into account individual holdings, Amazon.com Inc Common Stock Usd 0.01 (AMZN) accounts for about 5.14% of the fund's total assets, followed by Apple Inc (AAPL) and Microsoft Corp Common Stock Usd 0.00000625 (MSFT). Click to get this free report FlexShares STOXX US ESG Select Index Fund (ESG): ETF Research Reports Amazon.com, Inc. (AMZN) : Free Stock Analysis Report Apple Inc. (AAPL) : Free Stock Analysis Report Microsoft Corporation (MSFT) : Free Stock Analysis Report iShares ESG Aware MSCI USA ETF (ESGU): ETF Research Reports JPMorgan Nasdaq Equity Premium Income ETF (JEPQ): ETF Research Reports To read this article on Zacks.com click here. Even though this space provides many choices to investors--think one of the simplest methodologies like equal-weighting and more complicated ones like fundamental and volatility/momentum based weighting--not all have been able to deliver first-rate results.",3.0
2023-12-15 00:00:00 UTC,AAPL,"APPLE INC (AAPL) is a large-cap growth stock in the Communications Equipment industry. Below is Validea's guru fundamental report for APPLE INC (AAPL). Of the 22 guru strategies we follow, AAPL rates highest using our Twin Momentum Investor model based on the published strategy of Dashan Huang.",2.0
2023-12-14 00:00:00 UTC,AAPL,"Let's dig into the payout enhancements from those two big-name companies, Apple (NASDAQ: AAPL) and Bank of America (NYSE: BAC). That low yield aside, in other ways Apple has been showing the characteristics of a mature dividend stock with modest growth (or even slight declines, as the company has reported in recent quarters). In its latest reported quarter, the company managed to increase both its loans and leases outstanding and its credit/debit card spend by around 3% from a year earlier.",5.0
2023-12-13 00:00:00 UTC,AAPL,"Apple (AAPL) and Alphabet's (GOOG) Google were asked by the European Commission to provide information on risk-mitigation measures on their app stores, the EU's executive arm said Thursday. Tech stocks were mixed Thursday afternoon with the Technology Select Sector SPDR Fund (XLK) decreasing 0.6% and the SPDR S&P Semiconductor ETF (XSD) climbing 3%. In corporate news, Adobe (ADBE) shares tumbled 6.5%, a day after fiscal 2024 revenue guidance disappointed investors.",2.0
2023-12-12 00:00:00 UTC,AAPL,"Roku is also valued cheaper than its bigger competitors in the industry, Netflix (NASDAQ:NFLX) and Apple (NASADAQ:AAPL), which have forward P/S ratios of 5.2 and 7.1, respectively. Recently, Wedbush analyst Alicia Reese raised ROKU stock's price target, citing the possibility that the company's initiatives will result in higher revenue growth and consistent earnings in the long run. Meanwhile, Citi analyst Jason Bazinet maintained his Hold rating on the stock, stating that while Roku's financial metrics may improve, the company's long-term outlook remains uncertain.",3.0
2023-12-11 00:00:00 UTC,AAPL,"The Australian government is greatly expanding the RBA's regulatory power over the payments system, particularly for mobile wallet services offered by the likes of Apple AAPL.O and Google GOOG.O. SYDNEY, Dec 12 (Reuters) - Australia's central bank is considering a slate of new regulations for the payments system to open up the use of mobile wallets, make costs more transparent and allow retailers to put surcharges on buy-now-pay-later services. Bullock said the powers should be in place sometime next year, allowing the RBA to launch a broad review of the retail payments system.",3.0
2023-12-10 00:00:00 UTC,AAPL,"AAPL Revenue (Annual) data by YCharts This is thanks to top products such as the iPhone and Apple Watch, but recently, another area has stood out. Apple Apple (NASDAQ: AAPL) has a growth track record that speaks for itself. That's because Shopify helps many of your favorite e-commerce companies operate their online stores -- providing a variety of services from creating the website to tracking sales and managing inventory.",4.0
2023-12-09 00:00:00 UTC,AAPL,"In this video, Travis Hoium covers Taiwan Semiconductor's (NYSE: TSM) role in the industry and shows why it's one of the safer ways to play AI development today. John Mackey, former CEO of Whole Foods Market, an Amazon subsidiary, is a member of The Motley Fool's board of directors. The Motley Fool has positions in and recommends 10x Genomics, Amazon, Apple, Meta Platforms, Nvidia, and Taiwan Semiconductor Manufacturing.",5.0
2023-12-08 00:00:00 UTC,AAPL,"APPLE INC (AAPL) is a large-cap growth stock in the Communications Equipment industry. Below is Validea's guru fundamental report for APPLE INC (AAPL). Of the 22 guru strategies we follow, AAPL rates highest using our Twin Momentum Investor model based on the published strategy of Dashan Huang.",4.0
2023-12-07 00:00:00 UTC,AAPL,"The Rich Use This Income Secret (NOT Dividends) Far More Than Regular Investors The post AAPL Stock Outlook : Don’t Be Scared by the Noise appeared first on InvestorPlace. InvestorPlace - Stock Market News, Stock Advice & Trading Tips Year-to-date, Apple (NASDAQ:AAPL) stock has risen an impressive 54%. Since 2021, growth has stalled, while operating expenses from R&D have increased, leading many to worry about the future of AAPL stock as R&D expenses grow faster than revenue.",3.0
